question,answer,french_question
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?","How many clips did Natalia sell in May? ** Natalia sold 48/2 = <<48/2=24>>24 clips in May.
How many clips did Natalia sell altogether in April and May? ** Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72","Natalia a vendu des clips à 48 de ses amis en avril, puis elle a vendu à moitié autant de clips en mai. Combien de clips Natalia a-t-il vendu complètement en avril et en mai?"
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?","How much does Weng earn per minute? ** Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
How much did Weng earn? ** Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10","Weng gagne 12 $ de l'heure pour le baby-sitting. Hier, elle vient de faire 50 minutes de baby-sitting. Combien a-t-elle gagné?"
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?","How much money does Betty have in the beginning? ** In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
How much money did Betty's grandparents give her? ** Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
How much more money does Betty need to buy the wallet? ** This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5",Betty économise de l'argent pour un nouveau portefeuille qui coûte 100 $. Betty n'a que la moitié de l'argent dont elle a besoin. Ses parents ont décidé de lui donner 15 $ à cet effet et ses grands-parents deux fois plus que ses parents. De combien d'argent Betty a-t-il besoin d'acheter le portefeuille?
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?","How many pages did Maila read today? ** Maila read 12 x 2 = <<12*2=24>>24 pages today.
How many pages did Maila read since yesterday? ** So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
How many pages are left to be read? ** There are 120 - 36 = <<120-36=84>>84 pages left to be read.
How many pages should she read tomorrow? ** Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42","Julie lit un livre de 120 pages. Hier, elle a pu lire 12 pages et aujourd'hui, elle a lu deux fois plus de pages qu'hier. Si elle veut lire la moitié des pages restantes demain, combien de pages devrait-elle lire?"
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,"How many pages does he write each week? ** He writes each friend 3*2=<<3*2=6>>6 pages a week
How many pages does he write every week? ** So he writes 6*2=<<6*2=12>>12 pages every week
How many pages does he write a year? ** That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624",James écrit une lettre de 3 pages à 2 amis différents deux fois par semaine.  Combien de pages écrit-il par an?
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?","How many more purple flowers are there than yellow flowers? ** There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
How many purple flowers are there? ** So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
How many flowers are there in total? ** Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
How many green flowers are there? ** That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
How many plants does Mark have in his garden? ** So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35",Mark a un jardin avec des fleurs. Il a planté des plantes de trois couleurs différentes. Dix d'entre eux sont jaunes et il y en a 80% de plus en violet. Il n'y a que 25% autant de fleurs vertes que des fleurs jaunes et violettes. Combien de fleurs Mark a-t-elle dans son jardin?
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?","How many slices does the largest pizza have? ** He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
How many slices does the small pizza have? ** He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
How many pieces does he eat that day? ** He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48","Albert se demande combien de pizzas il peut manger en une journée. Il achète 2 grandes pizzas et 2 petites pizzas. Une grande pizza a 16 tranches et une petite pizza a 8 tranches. S'il mange tout, combien de morceaux mange-t-il ce jour-là?"
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?","How many pounds of brownies did Ken add? ** To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
How many pounds of jelly beans did Ken add? ** Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
How many pounds of gummy worms did Ken add? ** And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16","Ken a créé un package de soins à envoyer à son frère, qui était absent au pensionnat.  Ken a placé une boîte sur une échelle, puis il a versé dans la boîte suffisamment de grains de gelée pour porter le poids à 2 livres.  Ensuite, il a ajouté suffisamment de brownies pour provoquer le triple du poids.  Ensuite, il a ajouté 2 autres livres de grains de gelée.  Et enfin, il a ajouté suffisamment de vers gommeux pour doubler le poids.  Quel a été le poids final de la boîte de goodies, en livres?"
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?","Define a variable ** Let S be the amount Alexis paid for the shoes.
How much did Alexis spend? ** She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
How much did Alexis spend? ** She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
How much did Alexis pay for the shoes? ** Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41","Alexis postule pour un nouvel emploi et a acheté un nouvel ensemble de vêtements d'affaires à porter à l'entretien. Elle est allée dans un grand magasin avec un budget de 200 $ et a dépensé 30 $ pour une chemise boutonnée, 46 $ sur un pantalon de costume, 38 $ sur une couche de costume, 11 $ sur des chaussettes et 18 $ sur une ceinture. Elle a également acheté une paire de chaussures, mais a perdu le reçu pour eux. Il a 16 $ à partir de son budget. Combien Alexis a-t-il payé pour les chaussures?"
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?","How much does Tina make in an 8-hour shift? ** She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
How many hours of overtime does Tina get? ** She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
How much does Tina make in overtime? ** Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
How much does Tina make in overtime? ** Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
How much does Tina make in a week? ** Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
How much does Tina make in overtime? ** Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
How much does Tina make in overtime? ** 2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
How much does Tina make in a week? ** In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990","Tina gagne 18,00 $ de l'heure.  Si elle travaille plus de 8 heures par quart de travail, elle est admissible aux heures supplémentaires, qui est payée par votre salaire horaire + 1/2 votre salaire horaire.  Si elle travaille 10 heures par jour pendant 5 jours, combien d'argent gagne-t-elle?"
"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?","Define a variable ** Let S be the number of people on the first hundred years’ ship.
How many people were on the second hundred years’ ship? ** The second hundred years’ ship had twice as many as the first, so it had 2S people.
How many people were on the third hundred years’ ship? ** The third hundred years’ ship had twice as many as the second, so it had 2 * 2S = <<2*2=4>>4S people.
How many people were on the ships? ** All the ships had S + 2S + 4S = 7S = 847 people.
How many people were on the first hundred years’ ship? ** Thus, the ship that the monster ate in the first hundred years had S = 847 / 7 = <<847/7=121>>121 people on it.
#### 121","Un monstre en haute mer s'élève des eaux une fois tous les cent ans pour se régaler d'un navire et assurer sa faim. Plus de trois cents ans, il a consommé 847 personnes. Les navires ont été construits plus grands au fil du temps, donc chaque nouveau navire a deux fois plus de personnes que le dernier navire. Combien de personnes étaient sur le navire que le monstre a mangé au cours des cent premières années?"
"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?","How much money did Tobias save up? ** He saved up $110 total because 95 + 15 = <<95+15=110>>110
How much money did Tobias save from his allowance? ** He saved $15 from his allowance because 3 x 5 = <<3*5=15>>15
How much money did Tobias earn mowing lawns? ** He earned $60 mowing lawns because 4 x 15 = <<4*15=60>>60
How much money did Tobias earn shoveling driveways? ** He earned $35 shoveling driveways because 110 - 60 - 15 = <<110-60-15=35>>35
How many driveways did Tobias shovel? ** He shoveled 5 driveways because 35 / 7 = <<35/7=5>>5
#### 5","Tobias achète une nouvelle paire de chaussures qui coûte 95 $. Il économise son argent chaque mois depuis trois mois. Il obtient une allocation de 5 $ par mois. Il tond les pelouses et pelle des allées. Il facture 15 $ pour tondre une pelouse et 7 $ pour pelle. Après avoir acheté les chaussures, il a un changement de 15 $. S'il entend 4 pelouses, combien de allées a-t-il pelleté?"
Randy has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. How many trees does Randy have in all on his farm?,"How many mango trees does Randy have? ** Half of the number of Randy's mango trees is 60/2 = <<60/2=30>>30 trees.
How many coconut trees does Randy have? ** So Randy has 30 - 5 = <<30-5=25>>25 coconut trees.
How many trees does Randy have in all on his farm? ** Therefore, Randy has 60 + 25 = <<60+25=85>>85 treeson his farm.
#### 85",Randy a 60 manguiers dans sa ferme. Il en a également 5 moins de la moitié de cocotiers que les manguiers. Combien d'arbres Randy a-t-il dans tout dans sa ferme?
"Jasper will serve charcuterie at his dinner party. He buys 2 pounds of cheddar cheese for $10, a pound of cream cheese that cost half the price of the cheddar cheese, and a pack of cold cuts that cost twice the price of the cheddar cheese. How much does he spend on the ingredients?","How much does a pound of cream cheese cost? ** A pound of cream cheese cost $10 / 2 = $<<10/2=5>>5.
How much does a pack of cold cuts cost? ** A pack of cold cuts cost $10 x 2 = $<<10*2=20>>20.
How much did Jasper spend on the ingredients? ** Jasper spent $10 + $5 + $20 = $<<10+5+20=35>>35 on the ingredients.
#### 35","Jasper servira la charcuterie lors de son dîner. Il achète 2 livres de cheddar pour 10 $, une livre de fromage à la crème qui coûte la moitié du prix du fromage cheddar et une paquet de coupes à froid qui coûtent deux fois le prix du fromage cheddar. Combien dépense-t-il pour les ingrédients?"
